"# includedInAnalysis='no' means this variable will be omitted in the analysis, 'yes' or leave blank means they enter the analysis."				
"# dataType={""categorical"",""continuous""}"				
"# drivenType={""knowledge"",""data"",""response"",""id""}, where 'id' type is not used for now but will be useful later for random effect or gee based method; response marked as response variable, can be more than 1. Later, algorithms with model file can take care of bivariate or multivariate response variables by specifying their names in the model files."				
"# comment: any comment put here, doesn't matter."				
colname	drivenType	dataType	includedInAnalysis	comment
CC.15	data	categorical	no	
ICD-9-CM.15	data	categorical	no	
CC.14	data	categorical	no	
ICD-9-CM.14	data	categorical	no	
CC.13	data	categorical	no	
ICD-9-CM.13	data	categorical	no	
CC.12	data	categorical	no	
ICD-9-CM.12	data	categorical	no	
CC.11	data	categorical	no	
ICD-9-CM.11	data	categorical	no	
CC.10	data	categorical	no	
ICD-9-CM.10	data	categorical	no	
CC.9	data	categorical	no	
ICD-9-CM.9	data	categorical	no	
CC.8	data	categorical	no	
ICD-9-CM.8	data	categorical	no	
CC.7	data	categorical	no	
ICD-9-CM.7	data	categorical	no	
CC.6	data	categorical	no	
ICD-9-CM.6	data	categorical	no	
CC.5	data	categorical	no	
ICD-9-CM.5	data	categorical	no	
CC.4	data	categorical	no	
ICD-9-CM.4	data	categorical	no	
CC.3	data	categorical	no	
ICD-9-CM.3	data	categorical	no	
CC.2	data	categorical	no	
ICD-9-CM.2	data	categorical	no	
CC.1	data	categorical	no	
ICD-9-CM.1	data	categorical	no	
PKEYCSV	id	categorical	no	
AGE	knowledge	continuous	yes	
AMONTH	data	categorical	no	admission month
ASOURCE	data	categorical	yes	admission source
PointOfOriginUB04	data	categorical	no	point of origin for admission or visit
ATYPE	data	categorical	yes	admission type
AWEEKEND	data	categorical	no	
DISPUNIFORM	data	categorical	Yes	disposition
DISPUB04	data	categorical	no	
DQTR	data	categorical	no	Discharge quarter
DRG	data	categorical	no	
DRG24	data	categorical	no	
locationID	data	categorical	no	
DXCCS1	data	categorical	no	
DXCCS2	data	categorical	no	
DXCCS3	data	categorical	no	
DXCCS4	data	categorical	no	
DXCCS5	data	categorical	no	
DXCCS6	data	categorical	no	
DXCCS7	data	categorical	no	
DXCCS8	data	categorical	no	
DXCCS9	data	categorical	no	
DXCCS10	data	categorical	no	
DXCCS11	data	categorical	no	
DXCCS12	data	categorical	no	
DXCCS13	data	categorical	no	
DXCCS14	data	categorical	no	
DXCCS15	data	categorical	no	
DaysToEvent	data	categorical	no	
FEMALE	knowledge	categorical	yes	
HCUP_ED	data	categorical	yes	HCUP emergency department service indicator
HCUP_OS	data	categorical	yes	HCUP observation stay service indicator
HOSPST	data	categorical	no	hospital state zipcode
Homeless	knowledge	categorical	yes	
LOS	response	continuous	yes	
MDC	data	categorical	no	Major Diagnostic Category
MDC24	data	categorical	no	
MEDINCSTQ	data	categorical	Yes	This categorical variable (MEDINCSTQ) provides a quartile classification of the estimated median household income for the state
NDX	data	continuous	yes	number of DX
NPR	data	continuous	yes	number of procedure
PAY1	data	categorical	yes	"expected primary payer (Medicare, Medicaid, private insurance, etc.)."
PAY2	data	categorical	yes	"the expected secondary payer (Medicare, Medicaid, private insurance, etc.)."
PL_UR_CAT4	data	categorical	Yes	Patient Location: Urban-Rural 4 Categories
PR1	data	categorical	no	
PRCCS1	data	categorical	no	
PRCCS2	data	categorical	no	
PRCCS3	data	categorical	no	
PRCCS4	data	categorical	no	
PRCCS5	data	categorical	no	
PRCCS6	data	categorical	no	
PRCCS7	data	categorical	no	
PRCCS8	data	categorical	no	
PRCCS9	data	categorical	no	
PRCCS10	data	categorical	no	
PRCCS11	data	categorical	no	
PRCCS12	data	categorical	no	
PRCCS13	data	categorical	no	
PRCCS14	data	categorical	no	
PRCCS15	data	categorical	no	
RACE	knowledge	categorical	yes	
TOTCHG	response	continuous	yes	
VisitLink	data	categorical	no	
ZIPINC_QRTL	data	categorical	yes	Median household income national quartile for patient ZIP Code
DIED	response	categorical	yes	
KEYCSV	id	categorical	no	
CM_ANEMDEF	data	categorical	no	
CM_ARTH	data	categorical	no	
CM_BLDLOSS	data	categorical	no	
CM_CHF	data	categorical	no	
CM_CHRNLUNG	data	categorical	no	
CM_COAG	data	categorical	no	
CM_DM	data	categorical	no	
CM_DMCX	data	categorical	no	
CM_HTN_C	data	categorical	no	
CM_HYPOTHY	data	categorical	no	
CM_LYMPH	data	categorical	no	
CM_LYTES	data	categorical	no	
CM_METS	data	categorical	no	
CM_NEURO	data	categorical	no	
CM_PARA	data	categorical	no	
CM_PERIVASC	data	categorical	no	
CM_PULMCIRC	data	categorical	no	
CM_RENLFAIL	data	categorical	no	
CM_TUMOR	data	categorical	no	
CM_ULCER	data	categorical	no	
CM_VALVE	data	categorical	no	
CM_WGHTLOSS	data	categorical	no	
KEYCSV.1	id	categorical	no	
NREVCD	data	categorical	no	Number of revenue codes for this discharge
REVCD1	data	categorical	no	"Revenue center codes specify a specific accommodation, ancillary service, or billing calculation"
REVCD2	data	categorical	no	
REVCD3	data	categorical	no	
REVCD4	data	categorical	no	
REVCD5	data	categorical	no	
REVCD6	data	categorical	no	
REVCD7	data	categorical	no	
REVCD8	data	categorical	no	
REVCD9	data	categorical	no	
REVCD10	data	categorical	no	
REVCD11	data	categorical	no	
REVCD12	data	categorical	no	
REVCD13	data	categorical	no	
REVCD14	data	categorical	no	
REVCD15	data	categorical	no	
REVCD16	data	categorical	no	
REVCD17	data	categorical	no	
REVCD18	data	categorical	no	
REVCD19	data	categorical	no	
REVCD20	data	categorical	no	
REVCD21	data	categorical	no	
REVCD22	data	categorical	no	
REVCD23	data	categorical	no	
REVCD24	data	categorical	no	
REVCD25	data	categorical	no	
REVCD26	data	categorical	no	
REVCD27	data	categorical	no	
REVCD28	data	categorical	no	
REVCD29	data	categorical	no	
REVCD30	data	categorical	no	
REVCD31	data	categorical	no	
REVCHG1	data	categorical	no	Detailed charges for revenue code n (as received from source)
REVCHG2	data	categorical	no	
REVCHG3	data	categorical	no	
REVCHG4	data	categorical	no	
REVCHG5	data	categorical	no	
REVCHG6	data	categorical	no	
REVCHG7	data	categorical	no	
REVCHG8	data	categorical	no	
REVCHG9	data	categorical	no	
REVCHG10	data	categorical	no	
REVCHG11	data	categorical	no	
REVCHG12	data	categorical	no	
REVCHG13	data	categorical	no	
REVCHG14	data	categorical	no	
REVCHG15	data	categorical	no	
REVCHG16	data	categorical	no	
REVCHG17	data	categorical	no	
REVCHG18	data	categorical	no	
REVCHG19	data	categorical	no	
REVCHG20	data	categorical	no	
REVCHG21	data	categorical	no	
REVCHG22	data	categorical	no	
REVCHG23	data	categorical	no	
REVCHG24	data	categorical	no	
REVCHG25	data	categorical	no	
REVCHG26	data	categorical	no	
REVCHG27	data	categorical	no	
REVCHG28	data	categorical	no	
REVCHG29	data	categorical	no	
REVCHG30	data	categorical	no	
REVCHG31	data	categorical	no	
UNIT1	data	categorical	no	The unit of service (UNITn) is retained as provided by the data source.
UNIT2	data	categorical	no	
UNIT3	data	categorical	no	
UNIT4	data	categorical	no	
UNIT5	data	categorical	no	
UNIT6	data	categorical	no	
UNIT7	data	categorical	no	
UNIT8	data	categorical	no	
UNIT9	data	categorical	no	
UNIT10	data	categorical	no	
UNIT11	data	categorical	no	
UNIT12	data	categorical	no	
UNIT13	data	categorical	no	
UNIT14	data	categorical	no	
UNIT15	data	categorical	no	
UNIT16	data	categorical	no	
UNIT17	data	categorical	no	
UNIT18	data	categorical	no	
UNIT19	data	categorical	no	
UNIT20	data	categorical	no	
UNIT21	data	categorical	no	
UNIT22	data	categorical	no	
UNIT23	data	categorical	no	
UNIT24	data	categorical	no	
UNIT25	data	categorical	no	
UNIT26	data	categorical	no	
UNIT27	data	categorical	no	
UNIT28	data	categorical	no	
UNIT29	data	categorical	no	
UNIT30	data	categorical	no	
UNIT31	data	categorical	no	
CHRON1	data	categorical	no	Assist the DX1;The Chronic Condition Indicator provides an easy way for users to categorize ICD-9-CM diagnosis codes into one of two categories: chronic or not chronic
CHRON2	data	categorical	no	
CHRON3	data	categorical	no	
CHRON4	data	categorical	no	
CHRON5	data	categorical	no	
CHRON6	data	categorical	no	
CHRON7	data	categorical	no	
CHRON8	data	categorical	no	
CHRON9	data	categorical	no	
CHRON10	data	categorical	no	
CHRON11	data	categorical	no	
CHRON12	data	categorical	no	
CHRON13	data	categorical	no	
CHRON14	data	categorical	no	
CHRON15	data	categorical	no	
CHRONB1	data	categorical	no	"In addition, the tool groups all diagnoses into body systems so that users can create indicators listing which specific body systems are affected by a chronic condition"
CHRONB2	data	categorical	no	
CHRONB3	data	categorical	no	
CHRONB4	data	categorical	no	
CHRONB5	data	categorical	no	
CHRONB6	data	categorical	no	
CHRONB7	data	categorical	no	
CHRONB8	data	categorical	no	
CHRONB9	data	categorical	no	
CHRONB10	data	categorical	no	
CHRONB11	data	categorical	no	
CHRONB12	data	categorical	no	
CHRONB13	data	categorical	no	
CHRONB14	data	categorical	no	
CHRONB15	data	categorical	no	
DXMCCS1	data	categorical	no	multilevel CCS
DXMCCS2	data	categorical	no	
